Date,IYT,RWR,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
29JUL2013,-0.0120,-0.0076,0.0057,-0.0083,-0.0073,-0.0027,-0.0016,-0.0022,0.0018,-0.0029,-0.0052
30JUL2013,0.0027,-0.0037,-0.0025,-0.0019,-0.0005,0.0042,0.0051,-0.0010,0.0033,0.0002,-0.0025
31JUL2013,0.0072,-0.0158,-0.0034,0.0033,0.0005,0.0036,-0.0035,-0.0002,-0.0073,0.0004,0.0052
01AUG2013,0.0325,-0.0034,0.0074,0.0163,0.0159,0.0171,0.0107,0.0082,0.0084,0.0063,0.0155
02AUG2013,-0.0022,-0.0052,0.0056,-0.0044,-0.0002,0.0020,0.0044,0.0005,-0.0013,0.0004,0.0071
05AUG2013,-0.0078,-0.0013,-0.0027,-0.0024,-0.0022,-0.0038,0.0022,0.0007,-0.0066,-0.0014,-0.0021
06AUG2013,-0.0128,-0.0034,-0.0092,-0.0061,-0.0089,-0.0075,-0.0053,-0.0012,-0.0051,-0.0047,-0.0041
07AUG2013,-0.0076,-0.0033,0.0004,-0.0035,-0.0068,-0.0015,-0.0025,-0.0048,0.0046,0.0008,-0.0088
08AUG2013,0.0073,0.0001,0.0148,0.0055,0.0024,0.0046,0.0033,0.0053,0.0038,0.0000,0.0067
09AUG2013,-0.0061,0.0088,0.0058,-0.0030,-0.0034,-0.0033,-0.0051,-0.0043,-0.0069,-0.0035,-0.0022
12AUG2013,0.0019,-0.0082,-0.0015,-0.0042,-0.0039,0.0013,0.0066,-0.0029,-0.0054,-0.0041,-0.0013
13AUG2013,-0.0067,-0.0134,0.0036,0.0018,0.0049,0.0044,0.0068,0.0007,-0.0054,0.0037,0.0000
14AUG2013,-0.0084,-0.0030,-0.0022,-0.0046,-0.0039,-0.0070,-0.0009,-0.0070,-0.0065,-0.0079,-0.0110
15AUG2013,-0.0091,-0.0192,-0.0072,-0.0055,-0.0147,-0.0112,-0.0161,-0.0160,-0.0127,-0.0168,-0.0175
16AUG2013,0.0072,-0.0263,-0.0078,-0.0040,-0.0017,0.0013,-0.0011,-0.0059,-0.0116,-0.0046,-0.0036
19AUG2013,-0.0089,-0.0126,-0.0079,-0.0159,-0.0132,-0.0053,-0.0030,-0.0045,-0.0085,0.0018,-0.0043
20AUG2013,0.0102,0.0232,0.0057,0.0061,0.0096,0.0018,0.0016,0.0002,0.0094,0.0028,0.0102
21AUG2013,-0.0060,-0.0013,-0.0076,-0.0055,-0.0070,-0.0069,-0.0022,-0.0077,-0.0114,-0.0060,-0.0086
22AUG2013,0.0204,0.0066,0.0119,0.0149,0.0116,0.0137,0.0044,0.0043,0.0057,0.0065,0.0100
23AUG2013,0.0005,0.0097,0.0081,0.0071,0.0010,0.0002,0.0072,0.0058,0.0083,0.0026,0.0002
26AUG2013,0.0002,-0.0025,0.0000,-0.0017,-0.0062,-0.0022,-0.0047,-0.0117,-0.0074,0.0014,-0.0021
27AUG2013,-0.0273,-0.0040,-0.0176,-0.0062,-0.0243,-0.0202,-0.0175,-0.0053,-0.0005,-0.0162,-0.0163
28AUG2013,-0.0007,-0.0050,-0.0019,0.0166,0.0018,0.0009,0.0006,-0.0075,0.0035,0.0043,0.0054
29AUG2013,0.0029,-0.0010,0.0032,-0.0104,0.0023,0.0029,0.0054,0.0041,-0.0059,0.0030,0.0048
30AUG2013,-0.0113,-0.0060,-0.0017,-0.0004,-0.0046,-0.0056,-0.0048,0.0030,0.0008,-0.0038,-0.0062
03SEP2013,0.0039,-0.0100,0.0060,0.0074,0.0083,0.0064,0.0010,-0.0008,-0.0115,0.0065,0.0071
04SEP2013,0.0134,0.0085,0.0093,0.0054,0.0079,0.0103,0.0097,0.0062,0.0000,0.0115,0.0105
05SEP2013,0.0049,-0.0103,0.0017,0.0033,0.0023,0.0023,0.0005,-0.0014,-0.0041,0.0014,0.0003
06SEP2013,-0.0024,0.0165,-0.0012,-0.0001,0.0000,-0.0004,0.0006,0.0025,0.0071,0.0004,-0.0012
09SEP2013,0.0157,0.0204,0.0151,0.0112,0.0116,0.0125,0.0120,0.0070,0.0035,0.0062,0.0089
10SEP2013,0.0214,0.0011,0.0090,0.0004,0.0117,0.0145,0.0062,0.0010,0.0078,0.0063,0.0097
11SEP2013,-0.0004,0.0068,0.0061,0.0076,0.0012,0.0041,-0.0046,0.0071,-0.0098,0.0067,0.0073
12SEP2013,-0.0116,-0.0064,-0.0104,-0.0059,-0.0071,-0.0041,0.0008,0.0004,-0.0028,-0.0017,-0.0023
13SEP2013,0.0015,0.0026,0.0067,-0.0004,0.0025,0.0028,0.0009,0.0082,0.0076,0.0024,0.0028
16SEP2013,0.0101,0.0112,0.0111,-0.0002,0.0111,0.0130,-0.0014,0.0091,0.0027,0.0090,0.0045
17SEP2013,0.0014,-0.0011,-0.0028,0.0045,0.0049,0.0043,0.0050,0.0034,0.0059,0.0006,0.0058
18SEP2013,0.0151,0.0351,0.0231,0.0121,0.0088,0.0126,0.0126,0.0119,0.0298,0.0062,0.0115
19SEP2013,0.0028,-0.0009,-0.0036,-0.0025,-0.0039,0.0034,0.0008,-0.0046,-0.0047,-0.0033,-0.0003
20SEP2013,-0.0045,-0.0177,-0.0115,-0.0081,-0.0056,-0.0122,-0.0071,-0.0070,-0.0149,-0.0019,-0.0060
23SEP2013,-0.0060,-0.0074,-0.0075,-0.0049,-0.0142,-0.0032,0.0029,-0.0044,0.0121,-0.0070,-0.0077
24SEP2013,0.0009,-0.0085,-0.0005,0.0010,-0.0062,0.0036,-0.0043,-0.0047,-0.0007,-0.0051,0.0026
